PredictionDate,CreateDateTime,DBD,DepartureDate,FlightNo,DepartureStation,ArrivalStation,AircraftType,Capacity,ScheduledDepartureTime,ProjectedTotalPax,PredictedBaggageWeight,ReportingDate,MedianPredBaggageWt,Sector,SECTOR_TYPE,MONTH,DAY_WEEK,TIME_BAND,Duration,Delay,ActualTotalPax,ActualBaggageWeight,APE
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG55,ATQ,DXB,Boeing,186,2025-05-26 09:10:00,175,2886.9228515625,2025-05-25,2788.6666666666665,ATQ-DXB,Non-Metro to International,May,Monday,C,Within 3 hour,On Time,172.0,2392.0,0.20690754663984115
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG56,DXB,ATQ,Boeing,186,2025-05-26 02:35:00,126,2240.556640625,2025-05-25,2265.0555555555557,DXB-ATQ,International to Non-Metro,May,Monday,A,More than 3 hour,Delayed,111.0,1953.0,0.1472384232590886
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG59,BOM,DXB,Boeing,189,2025-05-26 02:00:00,189,2339.382568359375,2025-05-25,2559.4444444444443,BOM-DXB,Metro to International,May,Monday,A,Within 3 hour,On Time,175.0,2521.0,0.07204182135685244
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG5,DEL,DXB,Boeing,189,2025-05-26 18:45:00,178,2127.3427734375,2025-05-25,2409.311111111111,DEL-DXB,Metro to International,May,Monday,E,Within 3 hour,On Time,179.0,2029.0,0.04846859213282405
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG60,DXB,BOM,Boeing,189,2025-05-26 16:00:00,89,1591.211181640625,2025-05-25,1636.5227272727273,DXB-BOM,International to Metro,May,Monday,D,More than 3 hour,Delayed,102.0,1848.0,0.1389549882897051
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG611,AMD,DED,Boeing,189,2025-05-26 11:30:00,185,1671.9906005859375,2025-05-25,1423.547619047619,AMD-DED,Metro to Non-Metro,May,Monday,D,Within 3 hour,On Time,169.0,1633.0,0.023876669066710043
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG616,DED,AMD,Boeing,189,2025-05-26 13:50:00,166,1452.140869140625,2025-05-25,1130.5853658536585,DED-AMD,Non-Metro to Metro,May,Monday,D,Within 3 hour,On Time,172.0,1672.0,0.13149469549005682
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG6,DXB,DEL,Boeing,189,2025-05-26 11:10:00,144,2430.613525390625,2025-05-25,2089.9555555555557,DXB-DEL,International to Metro,May,Monday,D,More than 3 hour,Delayed,149.0,2566.0,0.05276168145338075
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG709,DEL,BOM,Boeing,189,2025-05-26 18:25:00,182,1384.534912109375,2025-05-25,1033.84375,DEL-BOM,Metro to Metro,May,Monday,E,Within 3 hour,On Time,181.0,1429.0,0.03111622665544087
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG710,BOM,DEL,Boeing,189,2025-05-26 22:35:00,150,967.3995361328125,2025-05-25,1014.03125,BOM-DEL,Metro to Metro,May,Monday,G,Within 3 hour,On Time,151.0,1144.0,0.15437103484894013
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG711,CCU,IXB,Boeing,189,2025-05-26 13:30:00,133,1681.0623779296875,2025-05-25,1047.625,CCU-IXB,Metro to Non-Metro,May,Monday,D,Within 1.5 hour,On Time,174.0,1273.0,0.3205517501411528
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG711,DEL,CCU,Boeing,189,2025-05-26 09:20:00,180,2308.935302734375,2025-05-25,1416.2222222222222,DEL-CCU,Metro to Metro,May,Monday,C,Within 3 hour,On Time,185.0,1416.0,0.6306040273547846
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG712,CCU,DEL,Boeing,189,2025-05-26 17:10:00,122,1297.7423095703125,2025-05-25,1046.0,CCU-DEL,Metro to Metro,May,Monday,E,Within 3 hour,On Time,162.0,1050.0,0.23594505673363095
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG712,IXB,CCU,Boeing,189,2025-05-26 15:20:00,181,2498.673583984375,2025-05-25,996.5555555555555,IXB-CCU,Non-Metro to Metro,May,Monday,D,Within 1.5 hour,On Time,180.0,1468.0,0.7020937220602009
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG8157,DEL,BOM,Boeing,189,2025-05-26 06:10:00,175,1001.64697265625,2025-05-25,1018.9767441860465,DEL-BOM,Metro to Metro,May,Monday,B,Within 3 hour,On Time,180.0,1082.0,0.07426342638054528
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG831,BLR,DED,Boeing,144,2025-05-26 05:20:00,95,551.8873291015625,2025-05-25,914.25,BLR-DED,Metro to Non-Metro,May,Monday,B,Within 3 hour,On Time,29.0,287.0,0.9229523662075348
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG832,DED,BLR,Boeing,144,2025-05-26 09:00:00,133,966.5637817382812,2025-05-25,911.45,DED-BLR,Non-Metro to Metro,May,Monday,C,More than 3 hour,On Time,106.0,962.0,0.00474405586099922
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG87,DEL,BKK,Boeing,186,2025-05-26 21:20:00,123,1209.529052734375,2025-05-25,1533.3157894736842,DEL-BKK,Metro to International,May,Monday,F,More than 3 hour,On Time,125.0,1403.0,0.1378980379655203
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG88,BKK,DEL,Boeing,189,2025-05-26 03:50:00,161,1874.847900390625,2025-05-25,1793.2368421052631,BKK-DEL,International to Metro,May,Monday,A,Within 3 hour,Preponed,159.0,2026.0,0.07460616959988894
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG914,DEL,IXB,Boeing,212,2025-05-26 15:00:00,212,1943.7220458984375,2025-05-25,1699.8139534883721,DEL-IXB,Metro to Non-Metro,May,Monday,D,Within 3 hour,On Time,210.0,1683.0,0.15491505995153743
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG914,PNQ,DEL,Boeing,212,2025-05-26 12:00:00,159,2014.474609375,2025-05-25,1521.5,PNQ-DEL,Metro to Metro,May,Monday,D,Within 3 hour,On Time,205.0,1582.0,0.27337206660872315
2025-05-25,2025-05-25 06:02:40,1,2025-05-26,SG937,PNQ,DEL,Boeing,189,2025-05-26 06:00:00,168,1200.973388671875,2025-05-25,1578.7555555555555,PNQ-DEL,Metro to Metro,May,Monday,B,Within 3 hour,On Time,183.0,1331.0,0.09769091760189708
